intent,generated_email,reference_email,content,reference,structure,fluency,diversity,confidence,final_score
Follow up interview,"Dear Sir/Madam,

I am following up on my interview held on Monday for the Software Engineer role.

Thank you.

Sincerely,
Your Name","Dear Hiring Manager, I am following up on my interview held on Monday for the Software Engineer role.",1,0.834,1,1,0.957,0.958,0.932
Leave request,"Dear Sir/Madam,

I request leave for 2 days due to personal reasons.

Thank you.

Sincerely,
Your Name","Dear Manager, I request leave for 2 days due to personal reasons.",1,0.769,1,1,1,0.954,0.907
Apology delay,"Dear Sir/Madam,

I sincerely apologize for missing the deadline due to an unexpected issue.

Thank you.

Sincerely,
Your Name","Dear Team, I sincerely apologize for missing the deadline due to an unexpected issue.",0.75,0.831,1,1,0.95,0.906,0.855
Meeting request,"Dear Sir/Madam,

I would like to schedule a meeting tomorrow to discuss the project.

Thank you.

Sincerely,
Your Name","Dear Team, I would like to schedule a meeting tomorrow to discuss the project.",0.75,0.765,1,1,0.95,0.893,0.829
Job application,"Dear Sir/Madam,

I am applying for the Data Analyst position.

Thank you.

Sincerely,
Your Name","Dear Hiring Manager, I am applying for the Data Analyst position.",0.667,0.688,1,1,1,0.871,0.775
Resignation,"Dear Sir/Madam,

I resign from my role with a one-month notice.

Thank you.

Sincerely,
Your Name","Dear Sir, I resign from my role with a one-month notice.",1,0.719,1,1,1,0.944,0.888
Project update,"Dear Sir/Madam,

The project has been completed successfully.

Thank you.

Sincerely,
Your Name","Dear Team, the project has been completed successfully.",1,0.693,1,1,1,0.939,0.877
Complaint,"Dear Sir/Madam,

I am writing regarding a delay in service.

Thank you.

Sincerely,
Your Name","Dear Support, I am writing regarding a delay in service.",1,0.671,1,1,1,0.934,0.868
Thank you,"Dear Sir/Madam,

Thank you for your support.

Thank you.

Sincerely,
Your Name","Dear Manager, thank you for your support.",0.667,0.605,1,1,0.769,0.808,0.73
Reminder,"Dear Sir/Madam,

This is a reminder for the pending task.

Thank you.

Sincerely,
Your Name","Dear Team, this is a reminder for the pending task.",1,0.676,1,1,1,0.935,0.87
